OID_,Value,Count,Red,Green,Blue,Opacity,2001_Code,2001_Class,2005_Code,2005_Class,Class_Name
,52,152,0.949019608,0.949019608,0.949019608,1,3,Medium Intensity Developed,2,High Intensity Developed,Medium Intensity Developed to High Intensity Developed
,53,11948,0.760784314,0.850980392,0.870588235,1,3,Medium Intensity Developed,3,Medium Intensity Developed,Medium Intensity Developed to Medium Intensity Developed
,54,0,0.560784314,0.458823529,0.490196078,1,3,Medium Intensity Developed,4,Low Intensity Developed,Medium Intensity Developed to Low Intensity Developed
,55,4,0.760784314,0.8,0.219607843,1,3,Medium Intensity Developed,5,Developed Open Space,Medium Intensity Developed to Developed Open Space
,56,0,0.329411765,0.129411765,0,1,3,Medium Intensity Developed,6,Cultivated,Medium Intensity Developed to Cultivated
,57,2,0.760784314,0.631372549,0.309803922,1,3,Medium Intensity Developed,7,Pasture/Hay,Medium Intensity Developed to Pasture/Hay
,58,1,0.949019608,0.729411765,0.529411765,1,3,Medium Intensity Developed,8,Grassland,Medium Intensity Developed to Grassland
,59,0,0,0.949019608,0,1,3,Medium Intensity Developed,9,Deciduous Forest,Medium Intensity Developed to Deciduous Forest
,60,3,0,0.231372549,0,1,3,Medium Intensity Developed,10,Evergreen Forest,Medium Intensity Developed to Evergreen Forest
,61,0,0.031372549,0.631372549,0.231372549,1,3,Medium Intensity Developed,11,Mixed Forest,Medium Intensity Developed to Mixed Forest
,62,3,0.431372549,0.431372549,0,1,3,Medium Intensity Developed,12,Scrub/Shrub,Medium Intensity Developed to Scrub/Shrub
,63,0,0,0.360784314,0.360784314,1,3,Medium Intensity Developed,13,Palustrine Forested Wetland,Medium Intensity Developed to Palustrine Forested Wetland
,64,0,0.949019608,0.431372549,0,1,3,Medium Intensity Developed,14,Palustrine Scrub/Shrub Wetland,Medium Intensity Developed to Palustrine Scrub/Shrub Wetland
,65,0,0.949019608,0,0.949019608,1,3,Medium Intensity Developed,15,Palustrine Emergent Wetland,Medium Intensity Developed to Palustrine Emergent Wetland
,66,0,0.239215686,0,0.239215686,1,3,Medium Intensity Developed,16,Estuarine Forested Wetland,Medium Intensity Developed to Estuarine Forested Wetland
,67,0,0.431372549,0,0.431372549,1,3,Medium Intensity Developed,17,Estuarine Scrub/Shrub Wetland,Medium Intensity Developed to Estuarine Scrub/Shrub Wetland
,68,0,0.690196078,0,0.690196078,1,3,Medium Intensity Developed,18,Estuarine Emergent Wetland,Medium Intensity Developed to Estuarine Emergent Wetland
,69,0,0,0.949019608,0.949019608,1,3,Medium Intensity Developed,19,Unconsolidated Shore,Medium Intensity Developed to Unconsolidated Shore
,70,0,0.949019608,0.949019608,0,1,3,Medium Intensity Developed,20,Bare Land,Medium Intensity Developed to Bare Land
