"Iteration","Timestep","StratumIDSource","StateClassIDSource","StratumIDDest","StateClassIDDest","SecondaryStratumID","TertiaryStratumID","TransitionTypeID","Probability","Proportion","AgeMin","AgeMax","AgeRelative","AgeReset","TSTMin","TSTMax","TSTRelative"
"","","Wet","Forest:All","","Developed:All","Hawai'i","","URBANIZATION: Forest->Developed",1,,,,,,,,
"","","Wet","Forest:All","","Developed:All","Kaua'i","","URBANIZATION: Forest->Developed",1,,,,,,,,
"","","Wet","Forest:All","","Developed:All","Lana'i","","URBANIZATION: Forest->Developed",1,,,,,,,,
"","","Wet","Forest:All","","Developed:All","Maui","","URBANIZATION: Forest->Developed",1,,,,,,,,
"","","Wet","Forest:All","","Developed:All","Moloka'i","","URBANIZATION: Forest->Developed",1,,,,,,,,
"","","Wet","Forest:All","","Developed:All","O'ahu","","URBANIZATION: Forest->Developed",1,,,,,,,,
"","","Dry","Grassland:All","","Developed:All","Hawai'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Dry","Grassland:All","","Developed:All","Kaua'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Dry","Grassland:All","","Developed:All","Lana'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Dry","Grassland:All","","Developed:All","Maui","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Dry","Grassland:All","","Developed:All","Moloka'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Dry","Grassland:All","","Developed:All","O'ahu","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Mesic","Grassland:All","","Developed:All","Hawai'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Mesic","Grassland:All","","Developed:All","Kaua'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Mesic","Grassland:All","","Developed:All","Lana'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Mesic","Grassland:All","","Developed:All","Maui","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Mesic","Grassland:All","","Developed:All","Moloka'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Mesic","Grassland:All","","Developed:All","O'ahu","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Wet","Grassland:All","","Developed:All","Hawai'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Wet","Grassland:All","","Developed:All","Kaua'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Wet","Grassland:All","","Developed:All","Lana'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Wet","Grassland:All","","Developed:All","Maui","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Wet","Grassland:All","","Developed:All","Moloka'i","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Wet","Grassland:All","","Developed:All","O'ahu","","URBANIZATION: Grassland->Developed",1,,,,,,,,
"","","Dry","Shrubland:All","","Developed:All","Hawai'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Dry","Shrubland:All","","Developed:All","Kaua'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Dry","Shrubland:All","","Developed:All","Lana'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Dry","Shrubland:All","","Developed:All","Maui","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Dry","Shrubland:All","","Developed:All","Moloka'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Dry","Shrubland:All","","Developed:All","O'ahu","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
"","","Mesic","Shrubland:All","","Developed:All","Hawai'i","","URBANIZATION: Shrubland->Developed",1,,,,,,,,
