"FromStratumID","FromStateClassID","FromStockTypeID","ToStockTypeID","StateAttributeTypeID","FlowTypeID","Multiplier"
"Mesic","Shrubland:All","Living Biomass","Standing Deadwood","","Mortality",0.0475653575669393
"Mesic","Shrubland:All","Standing Deadwood","Deadwood","","Deadfall",0.193589757015606
"Mesic","Shrubland:All","Deadwood","Litter","","Deadwood Decay",0.0852662666236811
"Mesic","Shrubland:All","Litter","Soil","","Litter Decay",0.325869388336555
"Mesic","Shrubland:All","Litter","Atmosphere","","Emission (litter)",0.28468504525471
"Mesic","WoodyCrop:All","Atmosphere","Living Biomass","NPP","Growth",1
"Mesic","WoodyCrop:All","Living Biomass","Litter","","Litterfall",0.0486326264796634
"Mesic","WoodyCrop:All","Soil","Atmosphere","NPP","Emission (soil)",0.229661895309717
"Mesic","WoodyCrop:All","Soil","Aquatic","NPP","Leaching",0.00275601544923947
"Mesic","WoodyCrop:All","Living Biomass","Standing Deadwood","","Mortality",0.0158272138742832
"Mesic","WoodyCrop:All","Standing Deadwood","Deadwood","","Deadfall",0.193589714896895
"Mesic","WoodyCrop:All","Deadwood","Litter","","Deadwood Decay",0.0874197540907077
"Mesic","WoodyCrop:All","Litter","Soil","","Litter Decay",0.351277813607897
"Mesic","WoodyCrop:All","Litter","Atmosphere","","Emission (litter)",0.300827355210459
"Mesic","WoodyCrop:All","Living Biomass","Ag Products","","Harvest (Fruit)",0.363525713795697
"Wet","Agriculture:All","Atmosphere","Living Biomass","NPP","Growth",1
"Wet","Agriculture:All","Soil","Atmosphere","NPP","Emission (soil)",0.176769856242683
"Wet","Agriculture:All","Soil","Aquatic","NPP","Leaching",0.0280271650009636
"Wet","Agriculture:All","Litter","Soil","","Litter Decay",0.379544751155491
"Wet","Agriculture:All","Litter","Atmosphere","","Emission (litter)",0.363449374617178
"Wet","Agriculture:All","Living Biomass","Litter","","Litterfall",0.38350957338046
"Wet","Agriculture:All","Living Biomass","Ag Products","","Harvest (Grain)",0.371278628774282
"Wet","Agriculture:All","Living Biomass","Ag Products","","Harvest (Straw)",0.247115784477071
"Wet","Forest:All","Atmosphere","Living Biomass","NPP","Growth",1
"Wet","Forest:All","Living Biomass","Litter","","Litterfall",0.0578827620550085
"Wet","Forest:All","Soil","Atmosphere","NPP","Emission (soil)",0.411334612508226
"Wet","Forest:All","Soil","Aquatic","NPP","Leaching",0.0503716371066322
"Wet","Forest:All","Living Biomass","Standing Deadwood","","Mortality",0.0544559195168363
"Wet","Forest:All","Standing Deadwood","Deadwood","","Deadfall",0.193589683989271
"Wet","Forest:All","Deadwood","Litter","","Deadwood Decay",0.0852966855363206
"Wet","Forest:All","Litter","Soil","","Litter Decay",0.238667415090437
"Wet","Forest:All","Litter","Atmosphere","","Emission (litter)",0.198191598185181
"Wet","Grassland:All","Atmosphere","Living Biomass","NPP","Growth",1
"Wet","Grassland:All","Living Biomass","Litter","","Litterfall",0.498332595647713
"Wet","Grassland:All","Soil","Atmosphere","NPP","Emission (soil)",0.451137777633571
"Wet","Grassland:All","Soil","Aquatic","NPP","Leaching",0.0472548474764298
"Wet","Grassland:All","Litter","Soil","","Litter Decay",0.381458871954611
"Wet","Grassland:All","Litter","Atmosphere","","Emission (litter)",0.363916711299963
"Wet","Plantation:All","Atmosphere","Living Biomass","NPP","Growth",1
"Wet","Plantation:All","Living Biomass","Litter","","Litterfall",0.0578827620550085
"Wet","Plantation:All","Soil","Atmosphere","NPP","Emission (soil)",0.411334612508226
"Wet","Plantation:All","Soil","Aquatic","NPP","Leaching",0.0503716371066322
"Wet","Plantation:All","Living Biomass","Standing Deadwood","","Mortality",0.0544559195168363
"Wet","Plantation:All","Standing Deadwood","Deadwood","","Deadfall",0.193589683989271
"Wet","Plantation:All","Deadwood","Litter","","Deadwood Decay",0.0852966855363206
"Wet","Plantation:All","Litter","Soil","","Litter Decay",0.238667415090437
"Wet","Plantation:All","Litter","Atmosphere","","Emission (litter)",0.198191598185181
"Wet","Shrubland:All","Atmosphere","Living Biomass","NPP","Growth",1
"Wet","Shrubland:All","Living Biomass","Litter","","Litterfall",0.119205935887025
"Wet","Shrubland:All","Soil","Atmosphere","NPP","Emission (soil)",0.417747468669213
"Wet","Shrubland:All","Soil","Aquatic","NPP","Leaching",0.0531999146047916
"Wet","Shrubland:All","Living Biomass","Standing Deadwood","","Mortality",0.0475056315658269
"Wet","Shrubland:All","Standing Deadwood","Deadwood","","Deadfall",0.193589766300668
"Wet","Shrubland:All","Deadwood","Litter","","Deadwood Decay",0.0852557428940022
"Wet","Shrubland:All","Litter","Soil","","Litter Decay",0.285285988626084
"Wet","Shrubland:All","Litter","Atmosphere","","Emission (litter)",0.251324756009785
"Wet","WoodyCrop:All","Atmosphere","Living Biomass","NPP","Growth",1
"Wet","WoodyCrop:All","Living Biomass","Litter","","Litterfall",0.0498913201218098
"Wet","WoodyCrop:All","Soil","Atmosphere","NPP","Emission (soil)",0.2085254344288
"Wet","WoodyCrop:All","Soil","Aquatic","NPP","Leaching",0.0276664934599315
"Wet","WoodyCrop:All","Living Biomass","Standing Deadwood","","Mortality",0.0191658397787944
"Wet","WoodyCrop:All","Standing Deadwood","Deadwood","","Deadfall",0.193589752662632
"Wet","WoodyCrop:All","Deadwood","Litter","","Deadwood Decay",0.0871398395361431
"Wet","WoodyCrop:All","Litter","Soil","","Litter Decay",0.284709533724807
"Wet","WoodyCrop:All","Litter","Atmosphere","","Emission (litter)",0.244506960030123
"Wet","WoodyCrop:All","Living Biomass","Ag Products","","Harvest (Fruit)",0.360862431231433
